Date,Username,Role,Txn_amount,Approver
23/04/2020,bjyo51,staff1,180,None
23/04/2020,bjyo51,staff1,3750,zfvu73
23/04/2020,ijfu90,staff1,2850,zfvu73
23/04/2020,czmw12,staff2,1560,None
23/04/2020,czmw12,staff2,2330,zfvu73
23/04/2020,dkhi21,supervisor,5780,hxmk48
23/04/2020,zfvu73,supervisor,4510,gzfk26
23/04/2020,qtez25,staff2,1660,None
23/04/2020,pedi80,staff1,170,None
23/04/2020,cpzx65,staff2,1700,None
24/04/2020,pedi80,staff1,1960,None
24/04/2020,rofb82,staff2,1980,None
24/04/2020,cpzx65,staff2,50,None
24/04/2020,ijfu90,staff1,450,None
24/04/2020,qtez25,staff2,740,None
24/04/2020,zfvu73,supervisor,5530,sezj17
24/04/2020,bjyo51,staff1,2900,dkhi21
24/04/2020,czmw12,staff2,30,None
24/04/2020,rofb82,staff2,360,None
24/04/2020,qtez25,staff2,2020,zfvu73
24/04/2020,xmdf21,staff2,1510,None
24/04/2020,vfsx38,staff1,610,None
24/04/2020,hsyd53,staff1,280,None
24/04/2020,qtez25,staff2,120,None
24/04/2020,mxxg13,staff2,1360,None
24/04/2020,qhti95,staff1,2430,zfvu73
24/04/2020,dkhi21,supervisor,5850,cicu11
24/04/2020,czmw12,staff2,1400,None
25/04/2020,ijfu90,staff1,620,None
25/04/2020,vfsx38,staff1,1840,None
25/04/2020,rofb82,staff2,700,None
25/04/2020,qhti95,staff1,2950,dkhi21
25/04/2020,rofb82,staff2,850,None
25/04/2020,dkhi21,supervisor,4980,dvgc74
25/04/2020,zfvu73,supervisor,4920,uiqh99
25/04/2020,qhti95,staff1,2220,zfvu73
25/04/2020,dkhi21,supervisor,4430,dvgc74
25/04/2020,qtez25,staff2,370,None
25/04/2020,qhti95,staff1,1950,None
25/04/2020,xmdf21,staff2,420,None
25/04/2020,okbq74,staff2,3380,zfvu73
25/04/2020,qtez25,staff2,770,None
25/04/2020,cpzx65,staff2,780,None
25/04/2020,zfvu73,supervisor,5080,hxmk48
25/04/2020,vfsx38,staff1,1590,None
26/04/2020,czmw12,staff2,1580,None
26/04/2020,qtez25,staff2,2830,dkhi21
26/04/2020,qhti95,staff1,1010,None
26/04/2020,okbq74,staff2,1550,None
26/04/2020,xmdf21,staff2,360,None
26/04/2020,cpzx65,staff2,1930,None
26/04/2020,czmw12,staff2,880,None
26/04/2020,rofb82,staff2,530,None
26/04/2020,cpzx65,staff2,860,None
26/04/2020,okbq74,staff2,1490,None
26/04/2020,dkhi21,supervisor,5360,gzfk26
26/04/2020,czmw12,staff2,1200,None
26/04/2020,ijfu90,staff1,560,None
26/04/2020,cpzx65,staff2,440,None
26/04/2020,hsyd53,staff1,3910,dkhi21
26/04/2020,qhti95,staff1,330,None
27/04/2020,qhti95,staff1,1730,None
27/04/2020,bjyo51,staff1,1650,None
27/04/2020,czmw12,staff2,1920,None
27/04/2020,czmw12,staff2,2380,dkhi21
27/04/2020,cpzx65,staff2,1630,None
27/04/2020,qtez25,staff2,1360,None
27/04/2020,zfvu73,supervisor,5210,rixd63
27/04/2020,mxxg13,staff2,1750,None
27/04/2020,vfsx38,staff1,1900,None
27/04/2020,hsyd53,staff1,1090,None
27/04/2020,bjyo51,staff1,1710,None
27/04/2020,xmdf21,staff2,1910,None
27/04/2020,rofb82,staff2,1260,None
27/04/2020,pedi80,staff1,2200,dkhi21
27/04/2020,czmw12,staff2,1280,None
27/04/2020,dkhi21,supervisor,5550,dvgc74
27/04/2020,qhti95,staff1,350,None
27/04/2020,pedi80,staff1,1470,None
27/04/2020,pedi80,staff1,2910,dkhi21
27/04/2020,vfsx38,staff1,1050,None
27/04/2020,cpzx65,staff2,1740,None
27/04/2020,bjyo51,staff1,510,None
28/04/2020,cpzx65,staff2,370,None
28/04/2020,vfsx38,staff1,1810,None
28/04/2020,pedi80,staff1,450,None
28/04/2020,zfvu73,supervisor,6030,rixd63
28/04/2020,qhti95,staff1,1420,None
28/04/2020,ijfu90,staff1,660,None
28/04/2020,czmw12,staff2,1770,None
28/04/2020,xmdf21,staff2,190,None
28/04/2020,cpzx65,staff2,640,None
28/04/2020,xmdf21,staff2,2810,dkhi21
28/04/2020,qtez25,staff2,2940,dkhi21
28/04/2020,okbq74,staff2,650,None
28/04/2020,xmdf21,staff2,1640,None
28/04/2020,rofb82,staff2,1830,None
28/04/2020,mxxg13,staff2,2340,zfvu73
28/04/2020,pedi80,staff1,330,None
28/04/2020,vfsx38,staff1,2280,zfvu73
28/04/2020,mxxg13,staff2,1170,None
28/04/2020,wslg61,staff1,590,None
28/04/2020,qtez25,staff2,990,None
28/04/2020,vfsx38,staff1,70,None
28/04/2020,qhti95,staff1,170,None
28/04/2020,pedi80,staff1,1940,None
28/04/2020,rofb82,staff2,50,None
28/04/2020,bjyo51,staff1,800,None
28/04/2020,mxxg13,staff2,910,None
28/04/2020,xmdf21,staff2,850,None
28/04/2020,dkhi21,supervisor,5700,sezj17
28/04/2020,bjyo51,staff1,2920,zfvu73
01/05/2020,rofb82,staff2,580,None
01/05/2020,hsyd53,staff1,60,None
01/05/2020,mxxg13,staff2,820,None
01/05/2020,mxxg13,staff2,3330,zfvu73
01/05/2020,qhti95,staff1,2590,dkhi21
01/05/2020,wslg61,staff1,3460,zfvu73
01/05/2020,bjyo51,staff1,730,None
01/05/2020,hsyd53,staff1,1180,None
01/05/2020,czmw12,staff2,1180,None
01/05/2020,cpzx65,staff2,900,None
01/05/2020,cpzx65,staff2,560,None
01/05/2020,mxxg13,staff2,60,None
01/05/2020,qhti95,staff1,1160,None
01/05/2020,hsyd53,staff1,450,None
01/05/2020,qtez25,staff2,1740,None
01/05/2020,wslg61,staff1,690,None
01/05/2020,zfvu73,supervisor,4030,yvyl18
01/05/2020,mxxg13,staff2,2430,dkhi21
01/05/2020,okbq74,staff2,1390,None
01/05/2020,vfsx38,staff1,690,None
01/05/2020,vfsx38,staff1,2770,dkhi21
02/05/2020,czmw12,staff2,1520,None
02/05/2020,czmw12,staff2,1510,None
02/05/2020,wslg61,staff1,2490,dkhi21
02/05/2020,rofb82,staff2,780,None
02/05/2020,czmw12,staff2,1180,None
02/05/2020,mxxg13,staff2,1830,None
02/05/2020,pedi80,staff1,1970,None
02/05/2020,rofb82,staff2,1440,None
02/05/2020,czmw12,staff2,2030,dkhi21
02/05/2020,qtez25,staff2,1610,None
02/05/2020,czmw12,staff2,770,None
02/05/2020,xmdf21,staff2,2780,zfvu73
02/05/2020,cpzx65,staff2,1360,None
02/05/2020,ijfu90,staff1,270,None
02/05/2020,hsyd53,staff1,2710,dkhi21
02/05/2020,hsyd53,staff1,1370,None
02/05/2020,qhti95,staff1,1390,None
02/05/2020,okbq74,staff2,1170,None
03/05/2020,zfvu73,supervisor,5850,sezj17
03/05/2020,hsyd53,staff1,590,None
03/05/2020,okbq74,staff2,800,None
03/05/2020,hsyd53,staff1,80,None
03/05/2020,czmw12,staff2,280,None
03/05/2020,zfvu73,supervisor,4550,uiqh99
03/05/2020,hsyd53,staff1,430,None
03/05/2020,qtez25,staff2,190,None
03/05/2020,xmdf21,staff2,1510,None
03/05/2020,vfsx38,staff1,1280,None
03/05/2020,vfsx38,staff1,670,None
03/05/2020,qtez25,staff2,1290,None
03/05/2020,bjyo51,staff1,970,None
03/05/2020,hsyd53,staff1,850,None
03/05/2020,qtez25,staff2,730,None
03/05/2020,qtez25,staff2,650,None
03/05/2020,qtez25,staff2,1160,None
03/05/2020,xmdf21,staff2,2100,dkhi21
03/05/2020,cpzx65,staff2,2190,zfvu73
04/05/2020,zfvu73,supervisor,4560,yvyl18
04/05/2020,vfsx38,staff1,560,None
04/05/2020,pedi80,staff1,100,None
04/05/2020,hsyd53,staff1,370,None
04/05/2020,ijfu90,staff1,860,None
04/05/2020,ijfu90,staff1,1880,None
04/05/2020,cpzx65,staff2,560,None
04/05/2020,czmw12,staff2,1150,None
04/05/2020,ijfu90,staff1,2050,zfvu73
04/05/2020,rofb82,staff2,150,None
04/05/2020,mxxg13,staff2,960,None
04/05/2020,bjyo51,staff1,2010,zfvu73
04/05/2020,bjyo51,staff1,1990,None
04/05/2020,cpzx65,staff2,1440,None
04/05/2020,okbq74,staff2,1150,None
04/05/2020,cpzx65,staff2,250,None
04/05/2020,vfsx38,staff1,910,None
04/05/2020,rofb82,staff2,920,None
04/05/2020,mxxg13,staff2,910,None
04/05/2020,bjyo51,staff1,980,None
04/05/2020,bjyo51,staff1,1650,None
04/05/2020,okbq74,staff2,1400,None
04/05/2020,cpzx65,staff2,550,None
04/05/2020,mxxg13,staff2,180,None
04/05/2020,dkhi21,supervisor,4830,dvgc74
05/05/2020,czmw12,staff2,3860,dkhi21
05/05/2020,zfvu73,supervisor,5780,uiqh99
05/05/2020,qtez25,staff2,1270,None
05/05/2020,pedi80,staff1,160,None
05/05/2020,hsyd53,staff1,1010,None
05/05/2020,mxxg13,staff2,1670,None
05/05/2020,vfsx38,staff1,1040,None
05/05/2020,ijfu90,staff1,820,None
05/05/2020,czmw12,staff2,1750,None
05/05/2020,ijfu90,staff1,1330,None
05/05/2020,qhti95,staff1,800,None
05/05/2020,czmw12,staff2,3010,dkhi21
05/05/2020,wslg61,staff1,920,None
05/05/2020,rofb82,staff2,1930,None
05/05/2020,vfsx38,staff1,1000,None
05/05/2020,qhti95,staff1,2880,zfvu73
05/05/2020,ijfu90,staff1,560,None
05/05/2020,xmdf21,staff2,400,None
05/05/2020,xmdf21,staff2,930,None
05/05/2020,bjyo51,staff1,620,None
05/05/2020,qtez25,staff2,950,None
05/05/2020,czmw12,staff2,1780,None
05/05/2020,hsyd53,staff1,2690,dkhi21
05/05/2020,pedi80,staff1,140,None
05/05/2020,rofb82,staff2,990,None
05/05/2020,hsyd53,staff1,1880,None
05/05/2020,rofb82,staff2,570,None
05/05/2020,xmdf21,staff2,1460,None
06/05/2020,okbq74,staff2,380,None
06/05/2020,czmw12,staff2,340,None
06/05/2020,dkhi21,supervisor,6000,sezj17
06/05/2020,okbq74,staff2,2930,dkhi21
06/05/2020,vfsx38,staff1,1520,None
06/05/2020,pedi80,staff1,560,None
06/05/2020,wslg61,staff1,1110,None
06/05/2020,cpzx65,staff2,1550,None
06/05/2020,pedi80,staff1,2770,zfvu73
06/05/2020,czmw12,staff2,1660,None
06/05/2020,qtez25,staff2,1820,None
06/05/2020,ijfu90,staff1,1920,None
06/05/2020,czmw12,staff2,1550,None
06/05/2020,vfsx38,staff1,510,None
06/05/2020,ijfu90,staff1,130,None
06/05/2020,czmw12,staff2,1800,None
06/05/2020,ijfu90,staff1,1580,None
06/05/2020,dkhi21,supervisor,5870,dvgc74
06/05/2020,dkhi21,supervisor,5640,rixd63
06/05/2020,ijfu90,staff1,300,None
06/05/2020,rofb82,staff2,440,None
07/05/2020,pedi80,staff1,580,None
07/05/2020,rofb82,staff2,1290,None
07/05/2020,czmw12,staff2,1600,None
07/05/2020,xmdf21,staff2,2820,zfvu73
07/05/2020,okbq74,staff2,550,None
07/05/2020,okbq74,staff2,3690,dkhi21
07/05/2020,rofb82,staff2,1260,None
07/05/2020,qtez25,staff2,1110,None
07/05/2020,zfvu73,supervisor,4570,yvyl18
07/05/2020,dkhi21,supervisor,5470,yvyl18
07/05/2020,wslg61,staff1,1200,None
07/05/2020,cpzx65,staff2,3760,zfvu73
07/05/2020,vfsx38,staff1,1990,None
07/05/2020,pedi80,staff1,850,None
07/05/2020,vfsx38,staff1,830,None
07/05/2020,hsyd53,staff1,1270,None
07/05/2020,okbq74,staff2,1930,None
07/05/2020,vfsx38,staff1,1120,None
07/05/2020,cpzx65,staff2,1630,None
07/05/2020,rofb82,staff2,850,None
07/05/2020,wslg61,staff1,900,None
07/05/2020,qhti95,staff1,670,None
07/05/2020,dkhi21,supervisor,4290,yvyl18
08/05/2020,zfvu73,supervisor,6020,yvyl18
08/05/2020,ijfu90,staff1,1520,None
08/05/2020,bjyo51,staff1,730,None
08/05/2020,rofb82,staff2,900,None
08/05/2020,qhti95,staff1,40,None
08/05/2020,czmw12,staff2,1800,None
08/05/2020,qtez25,staff2,210,None
08/05/2020,zfvu73,supervisor,4760,uiqh99
08/05/2020,qtez25,staff2,1710,None
08/05/2020,qtez25,staff2,490,None
08/05/2020,okbq74,staff2,640,None
08/05/2020,zfvu73,supervisor,5880,gzfk26
08/05/2020,wslg61,staff1,320,None
08/05/2020,wslg61,staff1,1940,None
08/05/2020,zfvu73,supervisor,5610,dvgc74
08/05/2020,vfsx38,staff1,1920,None
08/05/2020,ijfu90,staff1,1430,None
08/05/2020,rofb82,staff2,1930,None
08/05/2020,mxxg13,staff2,710,None
08/05/2020,dkhi21,supervisor,5350,hxmk48
08/05/2020,ijfu90,staff1,1520,None
08/05/2020,xmdf21,staff2,1380,None
08/05/2020,hsyd53,staff1,1720,None
08/05/2020,xmdf21,staff2,1650,None
08/05/2020,hsyd53,staff1,990,None
08/05/2020,vfsx38,staff1,3400,dkhi21
08/05/2020,cpzx65,staff2,2760,zfvu73
08/05/2020,pedi80,staff1,1800,None
08/05/2020,pedi80,staff1,1020,None
08/05/2020,okbq74,staff2,1690,None
09/05/2020,bjyo51,staff1,1130,None
09/05/2020,mxxg13,staff2,2400,dkhi21
09/05/2020,wslg61,staff1,1900,None
09/05/2020,qhti95,staff1,1100,None
09/05/2020,rofb82,staff2,760,None
09/05/2020,bjyo51,staff1,640,None
09/05/2020,xmdf21,staff2,480,None
09/05/2020,rofb82,staff2,740,None
09/05/2020,wslg61,staff1,1540,None
09/05/2020,zfvu73,supervisor,4290,uiqh99
09/05/2020,ijfu90,staff1,1680,None
09/05/2020,vfsx38,staff1,1310,None
09/05/2020,bjyo51,staff1,720,None
09/05/2020,qtez25,staff2,110,None
09/05/2020,rofb82,staff2,430,None
10/05/2020,wslg61,staff1,3490,dkhi21
10/05/2020,qtez25,staff2,250,None
10/05/2020,vfsx38,staff1,480,None
10/05/2020,wslg61,staff1,150,None
10/05/2020,wslg61,staff1,1480,None
10/05/2020,qhti95,staff1,1390,None
10/05/2020,rofb82,staff2,1660,None
10/05/2020,czmw12,staff2,1400,None
10/05/2020,wslg61,staff1,1020,None
10/05/2020,qtez25,staff2,1110,None
10/05/2020,pedi80,staff1,1400,None
10/05/2020,bjyo51,staff1,800,None
10/05/2020,vfsx38,staff1,920,None
10/05/2020,dkhi21,supervisor,4410,cicu11
10/05/2020,qtez25,staff2,1660,None
10/05/2020,mxxg13,staff2,1870,None
10/05/2020,dkhi21,supervisor,4770,cicu11
10/05/2020,czmw12,staff2,1100,None
10/05/2020,pedi80,staff1,1220,None
10/05/2020,wslg61,staff1,780,None
10/05/2020,zfvu73,supervisor,4390,rixd63
10/05/2020,mxxg13,staff2,1410,None
11/05/2020,xmdf21,staff2,20,None
11/05/2020,njso24,supervisor,5265,qili19
11/05/2020,zfvu73,supervisor,5160,uiqh99
11/05/2020,qhti95,staff1,1390,None
11/05/2020,cpzx65,staff2,3740,zfvu73
11/05/2020,ijfu90,staff1,1390,None
11/05/2020,qtez25,staff2,80,None
11/05/2020,vfsx38,staff1,30,None
11/05/2020,cpzx65,staff2,1650,None
11/05/2020,wslg61,staff1,2290,dkhi21
11/05/2020,qhti95,staff1,1880,None
11/05/2020,cpzx65,staff2,280,None
11/05/2020,pedi80,staff1,120,None
11/05/2020,okbq74,staff2,1450,None
11/05/2020,pedi80,staff1,1970,None
11/05/2020,hsyd53,staff1,2510,zfvu73
11/05/2020,rofb82,staff2,1430,None
11/05/2020,ijfu90,staff1,590,None
11/05/2020,czmw12,staff2,720,None
11/05/2020,njso24,supervisor,4545,qebl39
11/05/2020,czmw12,staff2,3510,dkhi21
12/05/2020,ijfu90,staff1,3990,dkhi21
12/05/2020,mxxg13,staff2,1790,None
12/05/2020,xmdf21,staff2,1350,None
12/05/2020,okbq74,staff2,3360,dkhi21
12/05/2020,wslg61,staff1,120,None
12/05/2020,czmw12,staff2,550,None
12/05/2020,rofb82,staff2,2150,dkhi21
12/05/2020,vfsx38,staff1,740,None
12/05/2020,qhti95,staff1,170,None
12/05/2020,bjyo51,staff1,70,None
12/05/2020,hsyd53,staff1,1530,None
12/05/2020,wslg61,staff1,1970,None
12/05/2020,mxxg13,staff2,180,None
12/05/2020,czmw12,staff2,740,None
12/05/2020,rofb82,staff2,1150,None
12/05/2020,czmw12,staff2,180,None
12/05/2020,qhti95,staff1,1350,None
12/05/2020,czmw12,staff2,1100,None
12/05/2020,czmw12,staff2,2170,zfvu73
12/05/2020,ijfu90,staff1,1660,None
12/05/2020,xmdf21,staff2,2970,dkhi21
12/05/2020,pedi80,staff1,880,None
13/05/2020,xmdf21,staff2,550,None
13/05/2020,qtez25,staff2,310,None
13/05/2020,qhti95,staff1,110,None
13/05/2020,qtez25,staff2,1560,None
13/05/2020,czmw12,staff2,1240,None
13/05/2020,pedi80,staff1,2170,dkhi21
13/05/2020,dkhi21,supervisor,6000,dvgc74
13/05/2020,zfvu73,supervisor,5610,gzfk26
13/05/2020,xmdf21,staff2,1700,None
13/05/2020,bjyo51,staff1,3050,dkhi21
13/05/2020,ijfu90,staff1,3700,zfvu73
13/05/2020,bjyo51,staff1,980,None
13/05/2020,hsyd53,staff1,1680,None
13/05/2020,pedi80,staff1,1010,None
13/05/2020,rofb82,staff2,2640,dkhi21
13/05/2020,dkhi21,supervisor,4350,hxmk48
13/05/2020,qtez25,staff2,150,None
13/05/2020,bjyo51,staff1,1230,None
13/05/2020,pedi80,staff1,3440,dkhi21
13/05/2020,mxxg13,staff2,930,None
13/05/2020,vfsx38,staff1,810,None
13/05/2020,vfsx38,staff1,1660,None
14/05/2020,pedi80,staff1,310,None
14/05/2020,qtez25,staff2,990,None
14/05/2020,dkhi21,supervisor,5820,dvgc74
14/05/2020,ijfu90,staff1,1520,None
14/05/2020,cpzx65,staff2,1760,None
14/05/2020,bjyo51,staff1,830,None
14/05/2020,cpzx65,staff2,1940,None
14/05/2020,rofb82,staff2,540,None
14/05/2020,bjyo51,staff1,2850,zfvu73
14/05/2020,mxxg13,staff2,320,None
14/05/2020,pedi80,staff1,1870,None
14/05/2020,bjyo51,staff1,540,None
14/05/2020,zfvu73,supervisor,5930,gzfk26
14/05/2020,rofb82,staff2,740,None
14/05/2020,bjyo51,staff1,460,None
14/05/2020,dkhi21,supervisor,5700,hxmk48
14/05/2020,okbq74,staff2,1080,None
14/05/2020,vfsx38,staff1,740,None
15/05/2020,dkhi21,supervisor,4000,hxmk48
15/05/2020,vfsx38,staff1,860,None
15/05/2020,czmw12,staff2,250,None
15/05/2020,hsyd53,staff1,1270,None
15/05/2020,wslg61,staff1,2030,dkhi21
15/05/2020,cpzx65,staff2,1870,None
15/05/2020,czmw12,staff2,1940,None
15/05/2020,qhti95,staff1,810,None
15/05/2020,xmdf21,staff2,1910,None
15/05/2020,czmw12,staff2,2850,dkhi21
15/05/2020,okbq74,staff2,1140,None
15/05/2020,pedi80,staff1,240,None
15/05/2020,xmdf21,staff2,1460,None
15/05/2020,rofb82,staff2,2510,dkhi21
15/05/2020,wslg61,staff1,270,None
15/05/2020,xmdf21,staff2,120,None
15/05/2020,pedi80,staff1,1770,None
15/05/2020,hsyd53,staff1,1780,None
16/05/2020,mxxg13,staff2,1820,None
16/05/2020,hsyd53,staff1,1930,None
16/05/2020,ijfu90,staff1,630,None
16/05/2020,czmw12,staff2,180,None
16/05/2020,hsyd53,staff1,680,None
16/05/2020,wslg61,staff1,20,None
16/05/2020,dkhi21,supervisor,4120,rixd63
16/05/2020,vfsx38,staff1,540,None
16/05/2020,pedi80,staff1,410,None
16/05/2020,wslg61,staff1,3230,zfvu73
16/05/2020,czmw12,staff2,900,None
16/05/2020,czmw12,staff2,1250,None
16/05/2020,qhti95,staff1,1400,None
16/05/2020,pedi80,staff1,170,None
16/05/2020,cpzx65,staff2,2080,zfvu73
16/05/2020,mxxg13,staff2,450,None
16/05/2020,dkhi21,supervisor,6090,gzfk26
16/05/2020,rofb82,staff2,1300,None
16/05/2020,okbq74,staff2,240,None
16/05/2020,cpzx65,staff2,500,None
16/05/2020,rofb82,staff2,1560,None
16/05/2020,xmdf21,staff2,830,None
16/05/2020,bjyo51,staff1,3000,dkhi21
17/05/2020,wslg61,staff1,50,None
17/05/2020,qhti95,staff1,660,None
17/05/2020,cpzx65,staff2,2170,dkhi21
17/05/2020,pedi80,staff1,1670,None
17/05/2020,dkhi21,supervisor,4390,dvgc74
17/05/2020,wslg61,staff1,1420,None
17/05/2020,cpzx65,staff2,1990,None
17/05/2020,qhti95,staff1,340,None
17/05/2020,hsyd53,staff1,1060,None
17/05/2020,czmw12,staff2,1780,None
17/05/2020,mxxg13,staff2,3460,dkhi21
17/05/2020,mxxg13,staff2,1790,None
17/05/2020,hsyd53,staff1,680,None
17/05/2020,czmw12,staff2,2350,zfvu73
17/05/2020,wslg61,staff1,350,None
17/05/2020,rofb82,staff2,1960,None
18/05/2020,qhti95,staff1,950,None
18/05/2020,pedi80,staff1,2200,zfvu73
18/05/2020,bjyo51,staff1,2540,zfvu73
18/05/2020,dkhi21,supervisor,6040,yvyl18
18/05/2020,cpzx65,staff2,20,None
18/05/2020,rofb82,staff2,1890,None
18/05/2020,dkhi21,supervisor,5490,dvgc74
18/05/2020,zfvu73,supervisor,4630,yvyl18
18/05/2020,pedi80,staff1,1100,None
18/05/2020,qhti95,staff1,1660,None
18/05/2020,ijfu90,staff1,130,None
18/05/2020,okbq74,staff2,450,None
18/05/2020,rofb82,staff2,750,None
18/05/2020,ijfu90,staff1,1360,None
18/05/2020,hsyd53,staff1,1140,None
18/05/2020,pedi80,staff1,1010,None
18/05/2020,wslg61,staff1,1940,None
18/05/2020,czmw12,staff2,2930,dkhi21
18/05/2020,cpzx65,staff2,1090,None
18/05/2020,okbq74,staff2,400,None
18/05/2020,qtez25,staff2,1710,None
18/05/2020,xmdf21,staff2,1270,None
18/05/2020,okbq74,staff2,960,None
18/05/2020,bjyo51,staff1,260,None
18/05/2020,dkhi21,supervisor,5690,uiqh99
18/05/2020,cpzx65,staff2,580,None
18/05/2020,qhti95,staff1,150,None
18/05/2020,qhti95,staff1,1830,None
18/05/2020,okbq74,staff2,1830,None
18/05/2020,rofb82,staff2,810,None
18/05/2020,dkhi21,supervisor,4130,cicu11
18/05/2020,cpzx65,staff2,1710,None
18/05/2020,mxxg13,staff2,890,None
18/05/2020,xmdf21,staff2,1810,None
19/05/2020,bjyo51,staff1,1210,None
19/05/2020,zfvu73,supervisor,5760,hxmk48
19/05/2020,mxxg13,staff2,3140,zfvu73
19/05/2020,xmdf21,staff2,1990,None
19/05/2020,pedi80,staff1,1530,None
19/05/2020,qtez25,staff2,1980,None
19/05/2020,vfsx38,staff1,1770,None
19/05/2020,czmw12,staff2,160,None
19/05/2020,mxxg13,staff2,30,None
19/05/2020,pedi80,staff1,1570,None
19/05/2020,rofb82,staff2,120,None
19/05/2020,pedi80,staff1,3480,dkhi21
19/05/2020,wslg61,staff1,430,None
19/05/2020,czmw12,staff2,820,None
19/05/2020,hsyd53,staff1,700,None
19/05/2020,ijfu90,staff1,3060,dkhi21
19/05/2020,czmw12,staff2,360,None
19/05/2020,ijfu90,staff1,330,None
19/05/2020,rofb82,staff2,1170,None
19/05/2020,rofb82,staff2,2980,dkhi21
19/05/2020,okbq74,staff2,1770,None
19/05/2020,qhti95,staff1,700,None
19/05/2020,bjyo51,staff1,1510,None
19/05/2020,mxxg13,staff2,1080,None
19/05/2020,qtez25,staff2,60,None
19/05/2020,okbq74,staff2,1580,None
20/05/2020,okbq74,staff2,1220,None
20/05/2020,bjyo51,staff1,1010,None
20/05/2020,zfvu73,supervisor,4360,gzfk26
20/05/2020,ijfu90,staff1,550,None
20/05/2020,wslg61,staff1,50,None
20/05/2020,vfsx38,staff1,3000,zfvu73
20/05/2020,pedi80,staff1,1930,None
20/05/2020,qtez25,staff2,1750,None
20/05/2020,wslg61,staff1,1520,None
20/05/2020,pedi80,staff1,2890,zfvu73
20/05/2020,xmdf21,staff2,1150,None
20/05/2020,ijfu90,staff1,90,None
20/05/2020,hsyd53,staff1,490,None
20/05/2020,qhti95,staff1,1970,None
20/05/2020,wslg61,staff1,480,None
20/05/2020,rofb82,staff2,1550,None
20/05/2020,czmw12,staff2,2370,dkhi21
20/05/2020,wslg61,staff1,170,None
20/05/2020,qhti95,staff1,410,None
20/05/2020,okbq74,staff2,440,None
20/05/2020,zfvu73,supervisor,5000,rixd63
20/05/2020,okbq74,staff2,1150,None
21/05/2020,xmdf21,staff2,1650,None
21/05/2020,mxxg13,staff2,360,None
21/05/2020,mxxg13,staff2,2700,dkhi21
21/05/2020,qtez25,staff2,650,None
21/05/2020,qhti95,staff1,940,None
21/05/2020,czmw12,staff2,1440,None
21/05/2020,pedi80,staff1,1200,None
21/05/2020,okbq74,staff2,1900,None
21/05/2020,qhti95,staff1,1220,None
21/05/2020,bjyo51,staff1,990,None
21/05/2020,vfsx38,staff1,2400,zfvu73
21/05/2020,wslg61,staff1,910,None
21/05/2020,mxxg13,staff2,1830,None
21/05/2020,pedi80,staff1,1490,None
21/05/2020,cpzx65,staff2,1650,None
21/05/2020,cpzx65,staff2,1160,None
21/05/2020,czmw12,staff2,2430,zfvu73
21/05/2020,zfvu73,supervisor,4500,gzfk26
22/05/2020,xmdf21,staff2,30,None
22/05/2020,okbq74,staff2,2480,zfvu73
22/05/2020,cpzx65,staff2,1730,None
22/05/2020,qhti95,staff1,550,None
22/05/2020,dkhi21,supervisor,4030,cicu11
22/05/2020,ijfu90,staff1,110,None
22/05/2020,mxxg13,staff2,230,None
22/05/2020,zfvu73,supervisor,5110,dvgc74
22/05/2020,wslg61,staff1,620,None
22/05/2020,rofb82,staff2,2310,zfvu73
22/05/2020,hsyd53,staff1,3320,zfvu73
22/05/2020,cpzx65,staff2,1400,None
22/05/2020,czmw12,staff2,1660,None
22/05/2020,cpzx65,staff2,490,None
22/05/2020,ijfu90,staff1,2250,zfvu73
22/05/2020,okbq74,staff2,870,None
22/05/2020,dkhi21,supervisor,5380,gzfk26
22/05/2020,cpzx65,staff2,1730,None
22/05/2020,wslg61,staff1,1310,None
22/05/2020,qhti95,staff1,2460,zfvu73
22/05/2020,hsyd53,staff1,3180,dkhi21
22/05/2020,okbq74,staff2,350,None
22/05/2020,dkhi21,supervisor,4600,yvyl18
22/05/2020,hsyd53,staff1,2280,zfvu73
22/05/2020,wslg61,staff1,370,None
23/05/2020,xmdf21,staff2,1080,None
23/05/2020,bjyo51,staff1,1880,None
23/05/2020,czmw12,staff2,520,None
23/05/2020,wslg61,staff1,1340,None
23/05/2020,ijfu90,staff1,3750,zfvu73
23/05/2020,wslg61,staff1,950,None
23/05/2020,wslg61,staff1,3350,dkhi21
23/05/2020,pedi80,staff1,40,None
23/05/2020,wslg61,staff1,900,None
23/05/2020,wslg61,staff1,680,None
23/05/2020,rofb82,staff2,1740,None
23/05/2020,ijfu90,staff1,3030,zfvu73
23/05/2020,mxxg13,staff2,570,None
23/05/2020,xmdf21,staff2,50,None
23/05/2020,czmw12,staff2,50,None
23/05/2020,ijfu90,staff1,510,None
24/05/2020,mxxg13,staff2,430,None
24/05/2020,cpzx65,staff2,1680,None
24/05/2020,wslg61,staff1,1920,None
24/05/2020,bjyo51,staff1,1930,None
24/05/2020,bjyo51,staff1,1850,None
24/05/2020,dkhi21,supervisor,5520,dvgc74
24/05/2020,cpzx65,staff2,560,None
24/05/2020,hsyd53,staff1,2340,zfvu73
24/05/2020,vfsx38,staff1,2890,zfvu73
24/05/2020,cpzx65,staff2,580,None
24/05/2020,hsyd53,staff1,290,None
24/05/2020,cpzx65,staff2,1810,None
24/05/2020,zfvu73,supervisor,5390,rixd63
24/05/2020,zfvu73,supervisor,6000,cicu11
